noise_type,beta,realization,skewness,kurtosis_raw,skewness_sq
White (β=0),0,0,0.03618162429342657,2.8528592441327976,0.0013091099365106758
White (β=0),0,1,0.14867161017161676,3.0168119264070112,0.02210324767102118
White (β=0),0,2,0.000880295400102952,2.9061162037845523,7.749199914424163e-07
White (β=0),0,3,-0.049914728881188065,2.887662703936605,0.00249148015928251
White (β=0),0,4,-0.03935792044932536,2.870989260997951,0.0015490459020954233
White (β=0),0,5,0.003925398529266772,2.938742685719081,1.5408753613569737e-05
White (β=0),0,6,0.11247349419952492,2.8423231382264746,0.012650286897450565
White (β=0),0,7,-0.03137300078349992,3.1469358423479985,0.0009842651781614869
White (β=0),0,8,0.05299044187564718,2.9518707121734025,0.002807986930176342
White (β=0),0,9,0.0757088107247889,2.902281098168095,0.0057318240213619105
White (β=0),0,10,-0.08986299777516982,3.158774767136417,0.008075358369140176
White (β=0),0,11,0.0657203433917919,2.913836884518018,0.004319163535535046
White (β=0),0,12,-0.07909207474635306,2.970171025653085,0.0062555562876826995
White (β=0),0,13,-0.009739135063950478,2.8022701919886885,9.485075179386969e-05
White (β=0),0,14,0.07683020522164227,2.926381225163393,0.005902880434399667
White (β=0),0,15,-0.004423313091429451,3.0226543883704644,1.9565698704811165e-05
White (β=0),0,16,-0.037331544462238735,3.0091758678075715,0.0013936442119361076
White (β=0),0,17,-0.06354555693617618,2.7921034370938567,0.004038037806328809
White (β=0),0,18,0.07517476667668037,2.8164575755498134,0.005651245544893333
White (β=0),0,19,0.005958298548941248,3.0936607418539843,3.5501321598315386e-05
White (β=0),0,20,-0.05843108232487756,3.102747940461854,0.0034141913816566186
White (β=0),0,21,-0.01294077034078387,2.9257767918576927,0.0001674635370129115
White (β=0),0,22,0.1273761499518864,2.962720528057184,0.01622468357656545
White (β=0),0,23,0.11662727991511956,3.2051053433640413,0.013601922420399652
White (β=0),0,24,-0.006566728503789559,2.898692006529725,4.312192324248226e-05
White (β=0),0,25,-0.0014618807006971076,2.7970252563135896,2.137095183070666e-06
White (β=0),0,26,0.15822698903905694,2.9634769196417903,0.025035780060365845
White (β=0),0,27,0.04077563661553251,2.829015652884219,0.0016626525414019555
White (β=0),0,28,-0.08434955400983711,3.000697547515077,0.007114847261658428
White (β=0),0,29,-0.114903422993385,2.843222761521229,0.013202796615596757
White (β=0),0,30,-0.13506945934420567,3.0074008840136925,0.018243758847536026
White (β=0),0,31,-0.05571110250284531,3.0561605192586963,0.003103726942082537
White (β=0),0,32,0.08005123306957947,2.9292843694611075,0.006408199915960133
White (β=0),0,33,0.0958394681948713,3.0272793228664145,0.009185203663875747
White (β=0),0,34,0.08990229538746117,3.2432086107727693,0.008082422715934321
White (β=0),0,35,0.049349648725601776,2.927614273838047,0.002435387829340289
White (β=0),0,36,0.008863538716244427,2.8491566343278967,7.856231857436391e-05
White (β=0),0,37,-0.018177564869354394,3.200222506311585,0.00033042386457958706
White (β=0),0,38,-0.010234769712208991,2.993014314098874,0.00010475051106195052
White (β=0),0,39,0.1079389602105662,2.9602501046009926,0.011650819131338194
White (β=0),0,40,-0.10218771486951653,3.018768257643088,0.010442329070253609
White (β=0),0,41,-0.07411763848977226,2.980232290615634,0.005493424335300571
White (β=0),0,42,-0.0213747723060107,2.926683856848437,0.00045688089113380195
White (β=0),0,43,0.12725544727878715,2.806728082614517,0.016193948862124177
White (β=0),0,44,0.04276988360831103,3.0076518199591584,0.0018292629438684724
White (β=0),0,45,-0.056699797099957296,3.231573519507888,0.0032148669911763257
White (β=0),0,46,0.08183590617619022,3.047932588401963,0.0066971155396782075
White (β=0),0,47,-0.19426945288026767,3.0765229980141977,0.03774062032239854
White (β=0),0,48,0.05023018920691595,3.0577300891394423,0.0025230719077625756
White (β=0),0,49,-0.07022174271343883,2.9131789374145214,0.004931093149712399
White (β=0),0,50,-0.06301376715399316,2.809084629571305,0.003970734850937668
White (β=0),0,51,0.07112196755636636,3.176464272936976,0.00505833426908883
White (β=0),0,52,0.09089260250547763,2.911162916987642,0.00826146519021876
White (β=0),0,53,0.05003752767932813,2.8272884467573425,0.0025037541762595286
White (β=0),0,54,-0.1277135327780741,2.9798619611182735,0.016310746454656206
White (β=0),0,55,0.1908117261094021,3.0269101860380596,0.036409114820849485
White (β=0),0,56,0.0777595768948653,2.8341814850246756,0.00604655179886847
White (β=0),0,57,0.07739437320058241,2.9911169093653043,0.00598988900311103
White (β=0),0,58,-0.05511110937173064,2.928749183349907,0.0030372343761828563
White (β=0),0,59,-0.04785608214499065,2.8393034311157255,0.002290204598268093
White (β=0),0,60,-0.136499619871738,3.258527936050866,0.018632146225128973
White (β=0),0,61,0.10100560759790575,3.05571670914786,0.010202132766222116
White (β=0),0,62,-0.009320499843292659,2.799987352104501,8.687171732881849e-05
White (β=0),0,63,-0.039635477143312337,3.0922792286852645,0.0015709710483780347
White (β=0),0,64,-0.09087490885101018,3.111348615407625,0.008258249058679409
White (β=0),0,65,0.027932320874157507,3.004069077314505,0.0007802145494168952
White (β=0),0,66,-0.07520743892974696,3.004457707648034,0.005656158870371619
White (β=0),0,67,-0.06922945168890911,3.056111129428177,0.004792716981147
White (β=0),0,68,0.07865939061245485,2.933350672700473,0.00618729973152275
White (β=0),0,69,0.0696662132845296,2.792294114805419,0.0048533812734055685
White (β=0),0,70,-0.1837292589362767,3.010172025338092,0.03375644058927341
White (β=0),0,71,-0.026590580284672476,2.887801936298272,0.0007070589598756126
White (β=0),0,72,0.0029462328630993255,2.901366754081816,8.680288083606449e-06
White (β=0),0,73,0.14979644660986452,3.237526674518485,0.02243897541694199
White (β=0),0,74,-0.05808623820549498,3.254336900036161,0.0033740110688655046
White (β=0),0,75,-0.060206666971979045,3.0227178310406995,0.0036248427478747926
White (β=0),0,76,0.019489784482388202,2.872821114469457,0.00037985169916993994
White (β=0),0,77,-0.033919316662391404,3.113271977603699,0.0011505200428435832
White (β=0),0,78,-0.10894662011894364,3.0888258615382433,0.011869366035341415
White (β=0),0,79,-0.05666618461235039,2.995164001845109,0.0032110564785209758
